age,gender,marital_status,education_level,annual_income,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,installment,grade_subgrade,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies,loan_paid_back
59,Male,Married,Master's,24240.19,2020.02,Employed,0.074,743,17173.72,Car,13.39,36,581.88,B5,7,40833.47,24302.07,1,0,1,1
72,Female,Married,Bachelor's,20172.98,1681.08,Employed,0.219,531,22663.89,Debt consolidation,17.81,60,573.17,F1,5,27968.01,10803.01,1,0,3,1
49,Female,Single,High School,26181.8,2181.82,Employed,0.234,779,3631.36,Business,9.53,60,76.32,B4,2,15502.25,4505.44,0,0,0,1
35,Female,Single,High School,11873.84,989.49,Employed,0.264,809,14939.23,Other,7.99,36,468.07,A5,7,18157.79,5525.63,4,0,5,1
63,Other,Single,Other,25326.44,2110.54,Employed,0.26,663,16551.71,Car,15.2,60,395.5,D5,1,17467.56,3593.91,2,0,2,1
28,Male,Single,High School,55559.8,4629.98,Employed,0.081,774,12724.02,Debt consolidation,12.73,60,287.75,B1,3,76147.61,14885.25,0,0,1,1
41,Male,Single,Bachelor's,24642.88,2053.57,Unemployed,0.165,742,5905.27,Car,12.48,36,197.5,B3,6,18380.15,12683.33,3,0,3,0
59,Female,Single,Bachelor's,52610.69,4384.22,Employed,0.135,810,15136.35,Debt consolidation,8.45,36,477.47,A3,4,75260.33,13768.13,0,0,0,1
39,Other,Single,High School,62922.05,5243.5,Employed,0.074,724,500.0,Home,9.95,36,16.12,C4,6,42759.4,15596.93,3,0,4,1
43,Female,Single,High School,53439.89,4453.32,Employed,0.375,796,14712.38,Car,11.81,36,487.33,B1,4,40629.06,15965.92,2,0,2,0
31,Female,Married,High School,37067.58,3088.96,Self-employed,0.166,722,24847.59,Car,15.16,36,863.3,C3,3,31600.7,16748.87,1,0,2,1
31,Female,Married,Bachelor's,73500.9,6125.08,Employed,0.17,687,500.0,Business,12.82,36,16.8,C2,6,77679.01,53010.23,1,0,2,1
44,Male,Single,Master's,71284.88,5940.41,Employed,0.313,738,16352.99,Debt consolidation,10.22,36,529.36,C4,2,57020.85,36722.12,0,0,0,1
73,Female,Married,Bachelor's,23763.07,1980.26,Employed,0.272,637,18191.26,Home,14.32,36,624.57,D4,5,28673.92,4814.55,4,0,4,1
56,Female,Divorced,Bachelor's,21597.98,1799.83,Employed,0.153,764,14908.25,Medical,8.5,36,470.62,B1,8,30287.45,4164.77,0,0,1,1
60,Female,Married,Bachelor's,27877.04,2323.09,Student,0.269,618,15819.7,Business,12.33,36,527.94,D3,4,36113.16,32635.74,6,0,6,0
